Name,City,State
"Graphic Era Hill University, Dehradun",Dehradun,Uttarakhand
"School of Engineering, UPES Dehradun - School of Engineering University of Petroleum and Energy Studies",Dehradun,Uttarakhand
LNMIIT Jaipur - LNM Institute of Information Technology,Jaipur,Rajasthan
"REVA University, Bangalore",Bangalore,Karnataka
"Jain University, Bangalore",Bangalore,Karnataka
IIT Bombay - Indian Institute of Technology,Mumbai,Maharashtra
MIT Manipal - Manipal Institute of Technology,Manipal,Karnataka
COEP Pune - College of Engineering,Pune,Maharashtra
SRM University Chennai - SRM Institute of Science and Technology,Kattankulathur,Tamil Nadu
IIST Thiruvananthapuram - Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala
DSCE Bangalore - Dayananda Sagar College of Engineering,Bangalore,Karnataka
VIT Vellore - Vellore Institute of Technology,Vellore,Tamil Nadu
RVCE Bangalore - RV College of Engineering,Bangalore,Karnataka
PSG Tech Coimbatore - PSG College of Technology,Coimbatore,Tamil Nadu
IIT Madras - Indian Institute of Technology,Chennai,Tamil Nadu
LPU Jalandhar - Lovely Professional University,Phagwara,Punjab
MSU Baroda - Maharaja Sayajirao University of Baroda,Vadodara,Gujarat
DTU Delhi - Delhi Technological University,New Delhi,Delhi
JMI New Delhi - Jamia Millia Islamia,New Delhi,Delhi
LDCE Ahmedabad - LD College of Engineering,Ahmedabad,Gujarat
IIEST Shibpur - Indian Institute of Engineering Science and Technology,Howrah,West Bengal
IIT Delhi - Indian Institute of Technology,New Delhi,Delhi
"BMS College of Engineering, Bangalore",Bangalore,Karnataka
MSRIT Bangalore - Ramaiah Institute of Technology,Bangalore,Karnataka
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Pune,Maharashtra
ICT Mumbai - Institute of Chemical Technology,Mumbai,Maharashtra
"Jadavpur University, Kolkata",Kolkata,West Bengal
"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala
VJTI Mumbai - Veermata Jijabai Technological Institute,Mumbai,Maharashtra
"Kumaraguru College of Technology, Coimbatore",Coimbatore,Tamil Nadu
"Andhra University College of Engineering, Visakhapatnam",Visakhapatnam,Andhra Pradesh
Sathyabama University - Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu
"School of Engineering, UPES Dehradun - School of Engineering University of Petroleum and Energy Studies",Dehradun,Uttarakhand
"Chandigarh University, Chandigarh",Chandigarh,Punjab
GCT Coimbatore - Government College of Technology,Coimbatore,Tamil Nadu
SVNIT Surat - Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat
"REVA University, Bangalore",Bangalore,Karnataka
"Heritage Institute of Technology, Kolkata",Kolkata,West Bengal
MNNIT Allahabad - Motilal Nehru National Institute of Technology Allahabad Prayagraj,Allahabad,Uttar Pradesh
IGNOU Delhi - Indira Gandhi National Open University,New Delhi,Delhi
BITS Hyderabad - BITS Pilani- Hyderabad Campus,Hyderabad,Telangana
PEC Chandigarh - Punjab Engineering College,Chandigarh,Chandigarh
IIT Kharagpur - Indian Institute of Technology,Kharagpur,West Bengal
NIT Trichy - National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu
"Amrita School of Engineering, Coimbatore",Coimbatore,Tamil Nadu
"Nirma University, Ahmedabad",Ahmedabad,Gujarat
"Techno India University, Kolkata",Kolkata,West Bengal
BIT Bangalore - Bangalore Institute of Technology,Bangalore,Karnataka
VIT Pune - Vishwakarma Institute of Technology,Pune,Maharashtra
"Bannari Amman Institute of Technology, Erode",Erode,Tamil Nadu
SIT Pune - Symbiosis Institute of Technology,Pune,Maharashtra
AIT Pune - Army Institute of Technology,Pune,Maharashtra
"KJ Somaiya College of Engineering, Mumbai",Mumbai,Maharashtra
BIT Mesra - Birla Institute of Technology,Ranchi,Jharkhand
"College of Engineering, Guindy",Chennai,Tamil Nadu
IIT Roorkee - Indian Institute of Technology,Roorkee,Uttarakhand
HBTU Kanpur - Harcourt Butler Technical University,Kanpur,Uttar Pradesh
"Presidency University, Bangalore",Bangalore,Karnataka
JNTUHCEH Hyderabad - JNTUH College of Engineering,Hyderabad,Telangana
"School of Engineering and Technology, Jain University, Bangalore",Bangalore,Karnataka
IIT Kanpur - Indian Institute of Technology,Kanpur,Uttar Pradesh
"Chaitanya Bharathi Institute of Technology, Hyderabad",Hyderabad,Telangana
NIT Jalandhar - Dr B R Ambedkar National Institute of Technology,Jalandhar,Punjab
NIT Surathkal - National Institute of Technology Karnataka,Mangaluru,Karnataka
"Integral University, Lucknow",Lucknow,Uttar Pradesh
IIIT Delhi - Indraprastha Institute of Information Technology,New Delhi,Delhi
IISc Bangalore - Indian Institute of Science,Bangalore,Karnataka
"Manipal University, Jaipur",Jaipur,Rajasthan
"Dr Ambedkar Institute of Technology, Bangalore",Bangalore,Karnataka
GVPCE Visakhapatnam - Gayatri Vidya Parishad College of Engineering,Visakhapatnam,Andhra Pradesh
VIT Chennai - Vellore Institute of Technology,Kelambakkam,Tamil Nadu
SPA Delhi - School of Planning and Architecture,New Delhi,Delhi
BITS Pilani - Birla Institute of Technology and Science,Pilani,Rajasthan
"Madras Institute of Technology, Chennai",Chennai,Tamil Nadu
VNIT Nagpur - Visvesvaraya National Institute of Technology,Nagpur,Maharashtra
HITS Chennai - Hindustan Institute of Technology and Science,Chennai,Tamil Nadu
"Nitte Meenakshi Institute of Technology, Bangalore",Bangalore,Karnataka
"Jamia Hamdard, New Delhi",New Delhi,Delhi
NIT Warangal - National Institute of Technology,Warangal,Telangana
"St Joseph's College of Engineering, Chennai",Chennai,Tamil Nadu
IIT BHU - Indian Institute of Technology Banaras Hindu University,Varanasi,Uttar Pradesh
"Gandhigram Rural Institute, Dindigul",Chinnalapatti,Tamil Nadu
"AISSMS College of Engineering, Pune",Pune,Maharashtra
"MBM Engineering College, Jodhpur",Jodhpur,Rajasthan
MPSTME Mumbai - Mukesh Patel School of Technology Management and Engineering,Mumbai,Maharashtra
UVCE Bangalore - University Visvesvaraya College of Engineering,Bangalore,Karnataka
"CVR College of Engineering, Hyderabad",Hyderabad,Telangana
"University of Hyderabad, Hyderabad",Hyderabad,Telangana
"Acharya Institute of Technology, Bangalore",Bangalore,Karnataka
LNMIIT Jaipur - LNM Institute of Information Technology,Jaipur,Rajasthan
"JSS Science and Technology University, Mysuru",Mysuru,Karnataka
"Government Polytechnic, Nashik",Nashik,Maharashtra
BITS Goa - BITS Pilani,Chicalim,Goa
